version,model,threshold,n_features,train_rows_original,train_rows_after_smote,test_rows,precision,recall,f1,roc_auc,pr_auc_avg_precision
Version B - Without ExtremeFlags,Random Forest,0.5,33,226980,453204,56746,0.9240506329113924,0.7684210526315789,0.8390804597701149,0.9861678476433268,0.816020517790799
Version A - With ExtremeFlags,Random Forest,0.5,40,226980,453204,56746,0.9230769230769231,0.7578947368421053,0.8323699421965318,0.9714109194895059,0.8101630903160401
Version A - With ExtremeFlags,HistGradientBoosting,0.5,40,226980,453204,56746,0.9135802469135802,0.7789473684210526,0.8409090909090909,0.9646431660517908,0.8097377508271572
Version B - Without ExtremeFlags,HistGradientBoosting,0.5,33,226980,453204,56746,0.8,0.8,0.8,0.9602686439315885,0.807663724343266
Version B - Without ExtremeFlags,Logistic Regression,0.5,33,226980,453204,56746,0.05372168284789644,0.8736842105263158,0.10121951219512196,0.9644210303343927,0.6869292613738338
Version A - With ExtremeFlags,Logistic Regression,0.5,40,226980,453204,56746,0.05144291091593475,0.8631578947368421,0.09709887507400829,0.9619985339600081,0.6348788943430486
